,loan_amnt,emp_length,home_ownership,annual_inc,loan_status,addr_state,dti,revol_util,total_acc,chargeoff_within_12_mths,pub_rec_bankruptcies,total_bal_ex_mort,approval
42543,20000.0,3.0,RENT,72000.0,Fully Paid,CA,16.42,72.1,32.0,0.0,1.0,37111.0,0
42544,5000.0,10.0,OWN,70000.0,Fully Paid,TX,22.56,39.6,35.0,0.0,0.0,47071.0,0
42546,6000.0,8.0,RENT,115000.0,Fully Paid,NY,7.37,40.9,26.0,0.0,0.0,48236.0,0
42550,12000.0,2.0,RENT,80000.0,Fully Paid,AZ,10.68,51.6,13.0,0.0,0.0,30236.0,0
42552,20000.0,10.0,MORTGAGE,80000.0,Fully Paid,CA,16.7,45.0,26.0,0.0,1.0,16852.0,0
42554,10075.0,2.0,MORTGAGE,55000.0,Fully Paid,DE,18.84,88.8,14.0,0.0,0.0,36678.0,0
42556,30000.0,10.0,OWN,72524.0,Fully Paid,KY,16.96,59.7,17.0,0.0,0.0,37820.0,0
42560,11200.0,5.0,OWN,38000.0,Fully Paid,FL,15.51,30.7,20.0,0.0,1.0,9203.0,0
42561,9800.0,10.0,RENT,40000.0,Fully Paid,IL,23.79,68.9,36.0,0.0,1.0,20311.0,0
42564,12000.0,5.0,MORTGAGE,50000.0,Fully Paid,CO,8.19,45.7,12.0,0.0,0.0,4094.0,0
42565,14575.0,10.0,OWN,41600.0,Fully Paid,MO,28.25,19.6,33.0,0.0,0.0,47765.0,0
42570,34475.0,10.0,RENT,79000.0,Fully Paid,CT,12.99,71.4,24.0,0.0,0.0,28360.0,0
42574,9600.0,1.0,RENT,33000.0,Fully Paid,KY,23.85,40.1,16.0,0.0,1.0,28881.0,0
42575,6000.0,1.0,RENT,34000.0,Fully Paid,WA,21.14,36.5,13.0,0.0,0.0,22897.0,0
42576,5000.0,1.0,RENT,50000.0,Fully Paid,NY,4.54,48.9,18.0,0.0,0.0,35052.0,0
42579,10600.0,10.0,OWN,33000.0,Fully Paid,WY,25.89,61.8,28.0,0.0,0.0,15571.0,0
42580,19125.0,1.0,RENT,86000.0,Fully Paid,CA,16.65,97.3,12.0,0.0,0.0,44361.0,0
42582,28100.0,10.0,OWN,67000.0,Fully Paid,NC,12.59,93.0,25.0,0.0,0.0,23342.0,0
42593,30000.0,2.0,RENT,85000.0,Fully Paid,WA,16.33,73.6,19.0,0.0,0.0,42321.0,0
42594,10000.0,7.0,MORTGAGE,50000.0,Fully Paid,NC,17.04,46.0,27.0,0.0,0.0,31908.0,0
42596,15000.0,3.0,RENT,60000.0,Charged Off,CA,3.68,61.3,12.0,0.0,0.0,7478.0,1
42599,13225.0,1.0,RENT,30192.0,Charged Off,CO,27.98,78.6,21.0,0.0,1.0,25510.0,1
42602,10000.0,2.0,RENT,110000.0,Fully Paid,MD,10.47,65.3,31.0,0.0,0.0,13602.0,0
42605,4500.0,1.0,MORTGAGE,38000.0,Fully Paid,MN,20.02,10.8,31.0,0.0,0.0,29848.0,0
42606,10000.0,4.0,RENT,85000.0,Fully Paid,OH,12.11,29.7,22.0,0.0,0.0,31366.0,0
42607,16000.0,9.0,RENT,80456.0,Fully Paid,MD,17.03,63.3,37.0,0.0,0.0,45007.0,0
42609,14000.0,5.0,RENT,40000.0,Fully Paid,FL,14.59,81.6,24.0,0.0,0.0,21232.0,0
42610,19750.0,10.0,RENT,45000.0,Fully Paid,NJ,18.09,45.8,31.0,0.0,0.0,15910.0,0
42621,10000.0,10.0,RENT,65000.0,Fully Paid,CA,16.71,79.5,11.0,0.0,0.0,33059.0,0
42624,29175.0,10.0,RENT,65000.0,Fully Paid,CA,33.46,41.0,18.0,0.0,0.0,40748.0,0
42625,7200.0,2.0,RENT,50000.0,Fully Paid,TX,9.27,94.9,28.0,0.0,0.0,25043.0,0
42627,19425.0,5.0,RENT,55000.0,Charged Off,PA,19.69,57.4,26.0,0.0,0.0,38879.0,1
42628,12000.0,10.0,RENT,55000.0,Charged Off,CA,4.51,73.9,20.0,0.0,0.0,11599.0,1
42630,12000.0,8.0,OWN,44600.0,Fully Paid,NC,25.48,82.4,14.0,0.0,0.0,40795.0,0
42633,2400.0,10.0,MORTGAGE,37000.0,Fully Paid,GA,19.43,61.8,15.0,0.0,1.0,21317.0,0
42634,12000.0,2.0,RENT,80000.0,Fully Paid,NC,9.86,55.7,12.0,0.0,0.0,39133.0,0
42635,11000.0,8.0,RENT,62500.0,Fully Paid,TX,13.41,54.7,18.0,0.0,0.0,24614.0,0
42636,5000.0,10.0,OWN,28000.0,Fully Paid,OH,18.17,23.2,18.0,0.0,0.0,9450.0,0
42637,10000.0,10.0,MORTGAGE,75000.0,Fully Paid,NM,25.87,38.0,22.0,0.0,1.0,33685.0,0
42638,1000.0,10.0,RENT,56439.0,Fully Paid,VA,14.22,61.7,15.0,0.0,0.0,5617.0,0
42643,12000.0,7.0,RENT,60000.0,Charged Off,FL,21.36,73.4,9.0,0.0,0.0,21145.0,1
42645,10000.0,8.0,RENT,36000.0,Fully Paid,MD,25.86,67.8,25.0,0.0,0.0,31664.0,0
42648,14125.0,8.0,RENT,45000.0,Fully Paid,NY,21.81,60.2,34.0,0.0,0.0,20110.0,0
42650,3200.0,3.0,MORTGAGE,35000.0,Fully Paid,AZ,4.9,62.5,35.0,0.0,0.0,3625.0,0
42655,3000.0,1.0,MORTGAGE,60000.0,Fully Paid,SC,17.47,52.2,17.0,0.0,0.0,30520.0,0
42656,18000.0,2.0,RENT,46000.0,Fully Paid,FL,11.27,38.1,25.0,0.0,0.0,15950.0,0
42668,15000.0,5.0,RENT,38000.0,Fully Paid,PA,28.96,65.4,32.0,0.0,0.0,33997.0,0
42670,24000.0,5.0,RENT,135000.0,Fully Paid,NV,8.97,40.8,26.0,0.0,0.0,41430.0,0
42672,9250.0,2.0,RENT,87300.0,Fully Paid,TX,13.04,79.9,10.0,0.0,0.0,19870.0,0
42674,16000.0,10.0,RENT,75500.0,Fully Paid,DE,21.35,49.5,28.0,0.0,0.0,27559.0,0
42680,7000.0,10.0,RENT,46000.0,Fully Paid,FL,30.56,55.6,26.0,0.0,0.0,18316.0,0
42681,10000.0,10.0,MORTGAGE,98000.0,Fully Paid,RI,14.82,56.8,50.0,0.0,1.0,40135.0,0
42688,15000.0,10.0,RENT,70000.0,Fully Paid,NH,27.64,89.1,22.0,0.0,0.0,19179.0,0
42690,15000.0,4.0,RENT,43000.0,Fully Paid,NJ,33.58,37.5,15.0,0.0,0.0,35245.0,0
42697,3000.0,5.0,RENT,49000.0,Charged Off,OH,21.16,68.1,16.0,0.0,0.0,21199.0,1
42703,7000.0,2.0,RENT,48000.0,Fully Paid,NY,9.4,54.4,21.0,0.0,0.0,25846.0,0
42707,11000.0,10.0,RENT,48500.0,Fully Paid,CA,11.83,60.4,18.0,0.0,0.0,10395.0,0
42708,15000.0,2.0,MORTGAGE,45000.0,Fully Paid,MI,15.39,52.7,49.0,0.0,0.0,11998.0,0
42712,4750.0,2.0,RENT,50000.0,Fully Paid,OR,20.28,50.3,29.0,0.0,0.0,34589.0,0
42714,25000.0,2.0,MORTGAGE,70000.0,Charged Off,TX,25.2,30.6,44.0,0.0,0.0,40438.0,1
42715,8400.0,10.0,RENT,51122.71,Fully Paid,CA,28.08,90.8,20.0,0.0,0.0,25005.0,0
42716,9000.0,10.0,MORTGAGE,70000.0,Fully Paid,CA,12.27,45.7,23.0,0.0,0.0,22111.0,0
42717,6900.0,9.0,RENT,65000.0,Fully Paid,OH,16.64,64.6,15.0,0.0,1.0,27574.0,0
42718,10225.0,7.0,RENT,50000.0,Fully Paid,CT,6.48,84.2,11.0,0.0,0.0,9940.0,0
42723,10000.0,6.0,RENT,50000.0,Charged Off,OH,9.0,58.6,16.0,0.0,0.0,9966.0,1
42728,20000.0,9.0,OWN,55000.0,Fully Paid,CT,28.01,72.7,28.0,0.0,0.0,34652.0,0
42730,17475.0,10.0,OWN,45650.0,Fully Paid,WV,25.74,44.2,29.0,0.0,0.0,31699.0,0
42732,20000.0,10.0,MORTGAGE,75000.0,Charged Off,LA,16.14,28.6,32.0,0.0,0.0,44443.0,1
42734,5000.0,1.0,RENT,42000.0,Fully Paid,LA,18.97,38.1,10.0,0.0,0.0,24005.0,0
42738,6000.0,10.0,MORTGAGE,64000.0,Fully Paid,KS,7.78,95.0,15.0,0.0,1.0,13787.0,0
42739,13250.0,3.0,OWN,35000.0,Fully Paid,MI,11.59,52.8,14.0,0.0,0.0,13787.0,0
42741,7000.0,6.0,RENT,50000.0,Fully Paid,PA,17.71,51.1,15.0,0.0,0.0,35317.0,0
42749,17000.0,1.0,RENT,104500.0,Fully Paid,NJ,13.55,65.0,30.0,0.0,0.0,42440.0,0
42750,16000.0,1.0,RENT,75000.0,Fully Paid,NY,7.79,31.1,8.0,0.0,0.0,12126.0,0
42758,5750.0,4.0,RENT,26000.0,Charged Off,FL,26.89,65.5,33.0,0.0,0.0,26872.0,1
42760,1750.0,4.0,RENT,29000.0,Fully Paid,PA,16.06,67.5,7.0,0.0,0.0,17181.0,0
42767,7125.0,2.0,RENT,35000.0,Fully Paid,CT,18.49,22.7,42.0,0.0,1.0,13542.0,0
42768,4800.0,8.0,RENT,50000.0,Fully Paid,NY,4.42,57.8,7.0,0.0,0.0,5897.0,0
42770,11000.0,10.0,RENT,35000.0,Fully Paid,WA,15.78,82.8,20.0,0.0,1.0,16556.0,0
42774,12000.0,10.0,RENT,65000.0,Fully Paid,CA,13.22,44.0,21.0,0.0,2.0,19558.0,0
42777,35000.0,5.0,RENT,140000.0,Fully Paid,NY,6.02,62.1,18.0,0.0,0.0,35020.0,0
42778,14675.0,3.0,OWN,37500.0,Fully Paid,FL,18.53,70.0,21.0,0.0,0.0,23462.0,0
42779,5000.0,10.0,RENT,55000.0,Fully Paid,CA,1.09,19.1,18.0,0.0,0.0,2349.0,0
42780,6500.0,10.0,MORTGAGE,54000.0,Fully Paid,WI,10.47,5.1,35.0,0.0,0.0,20513.0,0
42782,10000.0,6.0,RENT,36000.0,Fully Paid,WA,32.1,43.5,32.0,0.0,1.0,29920.0,0
42783,10800.0,1.0,RENT,57000.0,Fully Paid,CO,28.57,68.3,32.0,0.0,0.0,31373.0,0
42788,35000.0,5.0,RENT,153030.0,Fully Paid,MO,14.12,65.0,10.0,0.0,1.0,41943.0,0
42790,10625.0,1.0,MORTGAGE,25000.0,Fully Paid,GA,26.21,57.6,35.0,0.0,0.0,21637.0,0
42791,10000.0,1.0,RENT,60000.0,Fully Paid,FL,9.86,75.7,15.0,0.0,0.0,45812.0,0
42794,10000.0,10.0,RENT,42000.0,Fully Paid,NY,11.38,34.1,18.0,0.0,0.0,7168.0,0
42795,7000.0,3.0,RENT,50000.0,Fully Paid,CA,12.94,22.1,14.0,0.0,0.0,14021.0,0
42797,12000.0,6.0,RENT,69000.0,Fully Paid,IN,17.44,64.4,39.0,0.0,0.0,43898.0,0
42799,12375.0,2.0,OWN,35000.0,Fully Paid,FL,10.93,42.0,22.0,0.0,0.0,10964.0,0
42800,15000.0,7.0,RENT,150000.0,Fully Paid,NY,14.26,39.6,23.0,0.0,0.0,46779.0,0
42801,6000.0,3.0,MORTGAGE,65000.0,Charged Off,SC,22.54,76.2,34.0,0.0,0.0,36960.0,1
42803,10000.0,4.0,RENT,58250.0,Fully Paid,NJ,16.6,55.0,33.0,0.0,0.0,22987.0,0
42807,13000.0,3.0,RENT,50000.0,Fully Paid,NH,9.37,54.6,21.0,0.0,0.0,13543.0,0
42813,10000.0,10.0,RENT,75000.0,Fully Paid,MN,13.54,79.3,17.0,0.0,0.0,21051.0,0
42814,6000.0,1.0,RENT,70000.0,Fully Paid,PA,7.33,84.3,24.0,0.0,0.0,20451.0,0
42815,8500.0,10.0,RENT,76000.0,Fully Paid,TX,3.28,55.4,5.0,0.0,0.0,8202.0,0
42821,11875.0,10.0,OWN,32000.0,Charged Off,NY,7.05,47.9,14.0,0.0,1.0,5507.0,1
42822,28000.0,10.0,RENT,105000.0,Fully Paid,MO,9.33,85.0,15.0,0.0,0.0,27811.0,0
42825,3500.0,4.0,OWN,38000.0,Fully Paid,NC,3.13,54.4,13.0,0.0,0.0,9136.0,0
42830,7000.0,10.0,RENT,42740.0,Fully Paid,VA,22.86,19.0,25.0,0.0,1.0,36853.0,0
42833,16000.0,5.0,RENT,52400.0,Fully Paid,WV,26.23,54.8,33.0,0.0,0.0,49348.0,0
42836,5050.0,1.0,RENT,60000.0,Fully Paid,CA,12.08,79.5,19.0,0.0,0.0,32104.0,0
42839,6000.0,4.0,RENT,30000.0,Fully Paid,NC,15.04,62.4,19.0,0.0,0.0,10022.0,0
42841,16000.0,3.0,RENT,41734.0,Charged Off,VA,34.02,55.1,30.0,0.0,0.0,44168.0,1
42844,5600.0,7.0,MORTGAGE,24000.0,Fully Paid,NC,18.2,56.8,19.0,0.0,0.0,6878.0,0
42852,10000.0,2.0,RENT,77000.0,Charged Off,IL,6.28,93.6,22.0,0.0,0.0,22963.0,1
42854,2800.0,10.0,RENT,50000.0,Fully Paid,IN,9.07,82.0,10.0,0.0,0.0,13207.0,0
42855,25000.0,10.0,RENT,109000.0,Fully Paid,CA,14.97,75.8,19.0,0.0,0.0,49997.0,0
42858,3600.0,1.0,RENT,60000.0,Fully Paid,NC,7.54,51.1,17.0,0.0,1.0,3032.0,0
42862,4000.0,1.0,RENT,45000.0,Fully Paid,NC,22.85,54.2,26.0,0.0,0.0,22864.0,0
42864,16000.0,7.0,RENT,65000.0,Fully Paid,NJ,17.16,37.3,27.0,0.0,0.0,38667.0,0
42869,8000.0,5.0,RENT,38000.0,Fully Paid,AR,13.04,64.2,18.0,0.0,0.0,9306.0,0
42871,7200.0,9.0,RENT,48000.0,Fully Paid,PA,24.65,33.6,25.0,0.0,0.0,38187.0,0
42872,3700.0,3.0,MORTGAGE,100000.0,Fully Paid,CA,2.32,34.0,25.0,0.0,0.0,5036.0,0
42877,22000.0,1.0,RENT,80000.0,Fully Paid,TX,12.52,41.6,25.0,0.0,0.0,29423.0,0
42878,13000.0,10.0,MORTGAGE,65000.0,Fully Paid,LA,19.13,63.2,19.0,0.0,0.0,26790.0,0
42884,13200.0,8.0,RENT,94000.0,Fully Paid,GA,10.85,31.9,15.0,0.0,0.0,39092.0,0
42890,5000.0,1.0,MORTGAGE,35000.0,Fully Paid,MD,14.03,14.1,30.0,0.0,1.0,14825.0,0
42896,18000.0,10.0,RENT,40000.0,Fully Paid,NJ,28.33,45.3,19.0,0.0,0.0,29242.0,0
42897,6200.0,7.0,RENT,24000.0,Fully Paid,CO,25.5,79.7,10.0,0.0,0.0,14580.0,0
42900,6900.0,3.0,MORTGAGE,67000.0,Fully Paid,NJ,15.28,66.5,21.0,0.0,0.0,33056.0,0
42904,6000.0,10.0,RENT,56400.0,Charged Off,CA,26.26,63.9,28.0,0.0,1.0,14480.0,1
42906,9000.0,9.0,RENT,40000.0,Charged Off,CT,17.61,77.3,13.0,0.0,0.0,15145.0,1
42907,16000.0,3.0,RENT,74000.0,Fully Paid,NJ,16.25,73.1,17.0,0.0,0.0,28576.0,0
42910,25475.0,10.0,OWN,65000.0,Fully Paid,MA,28.18,54.8,16.0,0.0,0.0,29585.0,0
42914,12000.0,5.0,RENT,41000.0,Fully Paid,FL,19.78,66.5,23.0,0.0,0.0,11578.0,0
42915,8000.0,10.0,MORTGAGE,28000.0,Fully Paid,MI,18.82,77.9,27.0,0.0,1.0,30601.0,0
42916,10000.0,3.0,RENT,30000.0,Fully Paid,FL,21.52,44.2,24.0,0.0,0.0,44440.0,0
42923,18000.0,10.0,RENT,40263.0,Fully Paid,NY,21.67,29.1,30.0,0.0,0.0,29407.0,0
42924,30000.0,7.0,MORTGAGE,70000.0,Fully Paid,TX,13.29,48.3,28.0,0.0,1.0,30171.0,0
42929,8200.0,3.0,RENT,65000.0,Fully Paid,VA,19.65,85.0,23.0,0.0,0.0,42294.0,0
42932,7000.0,1.0,RENT,95000.0,Fully Paid,CA,6.51,8.3,24.0,0.0,0.0,14880.0,0
42935,10000.0,6.0,OWN,39000.0,Fully Paid,FL,16.37,59.2,17.0,0.0,0.0,46601.0,0
42937,14400.0,9.0,RENT,42500.0,Fully Paid,AL,26.07,51.5,26.0,0.0,1.0,39159.0,0
42940,10000.0,6.0,RENT,35000.0,Fully Paid,TN,16.19,47.5,7.0,0.0,0.0,16215.0,0
42943,9000.0,10.0,RENT,65000.0,Fully Paid,MA,18.41,73.5,18.0,0.0,0.0,29394.0,0
42950,9000.0,10.0,RENT,26000.0,Charged Off,MA,31.12,90.2,10.0,0.0,1.0,15302.0,1
42951,18000.0,2.0,OWN,75000.0,Charged Off,TX,15.5,73.1,34.0,0.0,0.0,43494.0,1
42954,10000.0,7.0,OWN,47000.0,Fully Paid,TX,1.79,44.1,30.0,0.0,1.0,5684.0,0
42955,19425.0,1.0,MORTGAGE,45000.0,Fully Paid,FL,28.67,74.4,28.0,0.0,0.0,20623.0,0
42958,7125.0,6.0,RENT,32000.0,Fully Paid,FL,11.03,37.2,19.0,0.0,1.0,6293.0,0
42960,8400.0,9.0,RENT,165000.0,Fully Paid,CT,16.11,76.5,13.0,0.0,0.0,48725.0,0
42965,4800.0,1.0,RENT,25000.0,Fully Paid,CA,10.56,79.5,13.0,0.0,0.0,19349.0,0
42972,12775.0,2.0,RENT,38900.0,Charged Off,CA,27.49,80.5,18.0,0.0,0.0,35848.0,1
42976,8400.0,3.0,RENT,47000.0,Fully Paid,NY,11.28,25.8,29.0,0.0,0.0,16111.0,0
42977,9150.0,6.0,RENT,52000.0,Fully Paid,NV,20.89,55.3,16.0,0.0,0.0,42336.0,0
42978,28000.0,7.0,RENT,100000.0,Fully Paid,CA,11.5,69.3,36.0,0.0,0.0,34328.0,0
42979,6000.0,5.0,RENT,20000.0,Fully Paid,CA,26.05,34.6,16.0,0.0,0.0,21431.0,0
42981,6900.0,5.0,MORTGAGE,40000.0,Charged Off,FL,20.01,71.2,12.0,0.0,0.0,16840.0,1
42985,20000.0,10.0,RENT,60000.0,Fully Paid,CA,19.81,78.1,11.0,0.0,0.0,33002.0,0
42987,10000.0,6.0,OWN,35000.0,Fully Paid,NY,13.79,67.3,10.0,0.0,1.0,11071.0,0
42989,1800.0,3.0,RENT,29999.0,Charged Off,OH,21.61,88.2,12.0,0.0,0.0,24107.0,1
42994,15000.0,2.0,OWN,90000.0,Fully Paid,CA,2.19,60.8,9.0,0.0,0.0,14645.0,0
42998,9925.0,5.0,RENT,40000.0,Fully Paid,NY,11.73,9.5,18.0,0.0,0.0,45894.0,0
43004,5600.0,4.0,RENT,30000.0,Fully Paid,CA,23.96,91.2,15.0,0.0,0.0,38291.0,0
43006,12000.0,1.0,RENT,36000.0,Fully Paid,CA,14.6,16.3,34.0,0.0,0.0,46476.0,0
43008,16000.0,10.0,OWN,42000.0,Charged Off,MT,9.94,23.1,29.0,0.0,1.0,8672.0,1
43010,12000.0,5.0,RENT,45500.0,Fully Paid,CA,14.96,34.2,22.0,0.0,1.0,13631.0,0
43015,19000.0,10.0,RENT,48000.0,Fully Paid,TX,17.08,13.1,31.0,0.0,0.0,18904.0,0
43016,16000.0,7.0,RENT,53000.0,Fully Paid,IL,19.2,33.1,15.0,0.0,0.0,39670.0,0
43019,8000.0,10.0,OWN,48000.0,Charged Off,AL,20.25,67.2,21.0,0.0,0.0,27406.0,1
43020,6625.0,2.0,RENT,90000.0,Charged Off,CA,9.63,41.7,17.0,0.0,1.0,23895.0,1
43021,6000.0,2.0,RENT,46000.0,Fully Paid,NC,4.44,71.0,29.0,0.0,0.0,45089.0,0
43028,16800.0,1.0,RENT,90000.0,Fully Paid,CA,18.1,48.4,9.0,0.0,0.0,10933.0,0
43030,15000.0,1.0,RENT,94000.0,Fully Paid,NJ,23.44,49.1,28.0,0.0,0.0,30395.0,0
43034,20000.0,10.0,RENT,70000.0,Fully Paid,KY,17.52,63.9,24.0,0.0,0.0,38068.0,0
43038,12875.0,7.0,RENT,44000.0,Fully Paid,TX,9.6,93.3,16.0,0.0,0.0,13067.0,0
43040,8000.0,4.0,MORTGAGE,53000.0,Fully Paid,IL,15.69,63.0,18.0,0.0,0.0,26987.0,0
43044,12300.0,5.0,RENT,40000.0,Fully Paid,IL,22.56,67.8,27.0,0.0,0.0,10838.0,0
43047,18000.0,2.0,MORTGAGE,45000.0,Fully Paid,TX,14.53,49.4,24.0,0.0,1.0,15152.0,0
43048,3000.0,5.0,RENT,42873.6,Fully Paid,TX,14.08,30.8,35.0,0.0,2.0,15404.0,0
43052,10575.0,10.0,MORTGAGE,54000.0,Fully Paid,MI,5.33,47.7,35.0,0.0,1.0,5768.0,0
43056,11600.0,3.0,RENT,94000.0,Fully Paid,CA,10.3,95.7,12.0,0.0,1.0,22377.0,0
43057,18000.0,10.0,RENT,50000.0,Charged Off,CA,18.27,70.8,29.0,0.0,0.0,46742.0,1
43059,30000.0,1.0,RENT,83000.0,Charged Off,CA,23.21,82.8,22.0,0.0,0.0,43570.0,1
43062,5850.0,5.0,RENT,54000.0,Fully Paid,FL,16.29,53.1,15.0,0.0,0.0,13361.0,0
43063,8000.0,10.0,MORTGAGE,60000.0,Fully Paid,NC,13.14,31.1,28.0,0.0,1.0,26342.0,0
43064,19000.0,10.0,RENT,55000.0,Fully Paid,IN,17.91,32.1,32.0,0.0,1.0,22630.0,0
43068,10000.0,10.0,OWN,26000.0,Fully Paid,NY,18.88,67.9,24.0,0.0,0.0,12295.0,0
43076,5500.0,10.0,RENT,40000.0,Fully Paid,OH,14.64,86.0,15.0,0.0,1.0,19542.0,0
43077,13500.0,10.0,OWN,32000.0,Fully Paid,OH,22.77,32.1,25.0,0.0,0.0,40645.0,0
43079,5850.0,10.0,MORTGAGE,40000.0,Fully Paid,PA,17.55,98.4,15.0,0.0,1.0,18866.0,0
43081,12375.0,10.0,RENT,35000.0,Charged Off,CA,15.81,60.8,25.0,0.0,0.0,13852.0,1
43084,15000.0,10.0,MORTGAGE,60000.0,Charged Off,SD,21.04,49.3,29.0,0.0,0.0,31194.0,1
43086,14000.0,7.0,MORTGAGE,43000.0,Fully Paid,WI,22.02,45.7,21.0,0.0,0.0,35929.0,0
43090,16000.0,2.0,RENT,77000.0,Fully Paid,MA,16.15,31.7,31.0,0.0,1.0,48688.0,0
43094,9450.0,4.0,OWN,40000.0,Fully Paid,GA,12.54,35.8,10.0,0.0,0.0,4194.0,0
43096,13000.0,10.0,MORTGAGE,80000.0,Fully Paid,CA,7.38,43.3,19.0,0.0,0.0,13755.0,0
43097,25000.0,7.0,RENT,86000.0,Fully Paid,OH,8.99,41.1,17.0,0.0,0.0,26019.0,0
43100,1075.0,1.0,RENT,40000.0,Fully Paid,TN,8.55,68.4,15.0,0.0,1.0,13504.0,0
43102,27575.0,10.0,RENT,63000.0,Fully Paid,CA,19.54,68.2,16.0,0.0,0.0,26788.0,0
43105,12000.0,10.0,MORTGAGE,48000.0,Fully Paid,IN,10.78,83.3,17.0,0.0,0.0,18081.0,0
43106,2875.0,10.0,MORTGAGE,53000.0,Fully Paid,TN,9.81,55.2,13.0,0.0,1.0,14278.0,0
43109,10000.0,10.0,MORTGAGE,103000.0,Fully Paid,TX,4.23,43.3,19.0,0.0,0.0,11871.0,0
43110,11500.0,5.0,MORTGAGE,46250.0,Fully Paid,PA,25.92,64.5,44.0,0.0,1.0,46643.0,0
43114,11975.0,9.0,RENT,35000.0,Fully Paid,NC,19.51,23.7,32.0,0.0,0.0,19926.0,0
43118,5500.0,2.0,RENT,20000.0,Fully Paid,CT,11.1,53.6,8.0,0.0,0.0,6955.0,0
43125,9600.0,2.0,RENT,32000.0,Fully Paid,CA,9.97,33.4,14.0,0.0,0.0,5952.0,0
43127,8000.0,1.0,RENT,160000.0,Fully Paid,NY,7.31,91.4,13.0,0.0,0.0,37532.0,0
43129,12000.0,2.0,RENT,80000.0,Fully Paid,AZ,11.56,46.5,9.0,0.0,0.0,37631.0,0
43130,10000.0,1.0,MORTGAGE,150000.0,Fully Paid,NY,3.97,54.5,7.0,0.0,0.0,25226.0,0
43133,12000.0,1.0,RENT,65000.0,Fully Paid,MI,15.34,58.0,19.0,0.0,1.0,12990.0,0
43135,15000.0,10.0,RENT,65000.0,Fully Paid,NY,7.03,28.8,20.0,0.0,1.0,14355.0,0
43136,11325.0,4.0,RENT,60000.0,Charged Off,MA,25.66,69.1,21.0,0.0,0.0,39886.0,1
43138,8600.0,10.0,RENT,25000.0,Fully Paid,MA,12.15,33.5,19.0,0.0,1.0,11472.0,0
43142,11000.0,8.0,RENT,48000.0,Fully Paid,OH,10.13,71.0,49.0,0.0,1.0,9391.0,0
43146,20000.0,5.0,RENT,82000.0,Fully Paid,MD,8.98,28.2,21.0,0.0,0.0,17435.0,0
43149,6075.0,3.0,RENT,52550.0,Charged Off,FL,15.21,83.9,13.0,0.0,0.0,38261.0,1
43150,18500.0,10.0,MORTGAGE,76500.0,Charged Off,NV,21.38,65.3,18.0,0.0,1.0,45320.0,1
43156,5000.0,5.0,RENT,55000.0,Fully Paid,CT,12.7,4.0,16.0,0.0,0.0,18914.0,0
43159,4800.0,1.0,RENT,93652.0,Fully Paid,NY,9.79,51.0,27.0,0.0,0.0,22799.0,0
43160,12000.0,10.0,MORTGAGE,70000.0,Fully Paid,NY,13.1,27.6,25.0,0.0,0.0,24169.0,0
43163,6075.0,3.0,OWN,25000.0,Fully Paid,GA,7.01,69.3,6.0,0.0,0.0,4919.0,0
43165,15000.0,10.0,MORTGAGE,50000.0,Charged Off,NY,15.05,64.1,22.0,0.0,1.0,17907.0,1
43166,12000.0,5.0,RENT,37000.0,Fully Paid,CA,33.71,50.8,21.0,0.0,0.0,36136.0,0
